car_vin,car_make,car_model,car_year,car_color,car_price,car_mileage,car_condition,car_owner,car_location
1N6AA0EJ1FN723173,Ford,Thunderbird,1972,white,750630.04,86041,fair,,864 Roxbury Pass
1FMCU4K38CK192057,MINI,Cooper Countryman,2011,green,979434.75,323443,fair,Yancy Klimshuk,3834 Harper Parkway
2HNYD18215H620887,BMW,X6 M,2010,red,447168.34,415539,excellent,Carlynne Bliss,785 Maple Terrace
JTMHY7AJ9F4120795,Chevrolet,Avalanche 2500,2004,blue,832718.19,4537,poor,Randall Besnardeau,9 Lighthouse Bay Point
1G6AB5R32E0634686,Mercedes-Benz,S-Class,2001,red,163019.62,288216,fair,Koren Marklew,36715 Oak Valley Crossing
WDDHF7GB5EA838663,Ford,,1966,black,604688.46,43260,good,Devonne Curnnokk,12 Waxwing Road
WDBWK5JAXBF853772,Infiniti,J,1993,red,36896.8,101174,fair,,62566 Muir Terrace
1FTSW3A58AE350254,Pontiac,Grand Prix,1976,green,10920.62,164730,fair,Kristal Colquite,321 Vahlen Lane
YV4612HM9F1555801,Volkswagen,Passat,1985,blue,281364.42,3371,excellent,Tildi Aldhous,19 Express Junction
2C3CK5CV5AH877273,Dodge,Ram,1994,red,820448.77,459731,good,,4560 Clarendon Road
1G6AL5SX5E0480601,Saturn,S-Series,1999,red,205181.43,56300,good,Jazmin Pettyfer,8758 Anhalt Trail
19XFB4F23DE227569,Volkswagen,Corrado,1991,green,853208.28,290531,excellent,Aluino Ardley,347 Dawn Lane
5N1AZ2MGXFN285200,Volkswagen,GTI,1992,blue,134796.3,273982,fair,,13654 Oak Center
WAUGL98E95A848354,Hyundai,Azera,2008,red,352235.75,138817,fair,Madelina Paulin,79 American Ash Trail
KM8JT3AB1BU927433,Mazda,B2600,1989,red,642291.86,274294,good,,21535 Springs Parkway
3D73M3HL2AG613712,BMW,8 Series,1994,green,298901.68,465012,fair,Kristina Straughan,0 Valley Edge Plaza
WVWAA7AJXCW717878,Lamborghini,Gallardo,2011,black,706349.22,244610,fair,Dasi Silcock,223 Union Center
WA1CFBFP9DA844690,Dodge,Viper RT/10,1993,white,256412.89,395615,good,Jacky Seaborn,84 New Castle Hill
2G4WF551X41010385,Cadillac,SRX,2004,blue,588899.83,350640,poor,Shelby Ivic,4 Linden Lane
1C6RD7LP2CS192924,Ford,Mustang,1988,red,216881.08,187664,fair,Joya Hamman,58 Buhler Pass
WBAVM1C55FV623811,GMC,Rally Wagon 3500,1994,white,993113.05,288629,poor,Brigit Bly,24321 Merrick Circle
YV1902MC1F1973893,Suzuki,Forenza,2007,green,857081.36,214184,good,Rriocard Banyard,280 Forest Dale Avenue
19UUA9E5XDA280471,Mercury,Cougar,1987,black,751212.79,238515,excellent,Ilsa Lucock,0188 Lakewood Gardens Park
KNAFX5A84E5560862,Subaru,Outback,2008,green,135989.62,290828,excellent,Yetty Langrish,307 Melby Pass
WA1DVAFE7AD688112,Mercury,Grand Marquis,2002,white,926641.31,332004,excellent,Remington Tosney,3220 Ryan Pass
1C3CC5FB1AN750199,GMC,Yukon XL 1500,2012,blue,764354.86,481320,good,Adelind McReath,2 American Circle
WA1AV74LX7D495792,Nissan,Armada,2009,green,161454.46,49398,poor,Ewan Deans,59584 Blaine Lane
1C3BCBEB7DN744259,Chevrolet,Suburban 2500,2000,green,625477.44,78284,fair,Falkner Edler,29 Service Crossing
5GALVAED5AJ220487,Cadillac,SRX,2009,green,571171.31,82095,good,Humbert Maven,
1G4HR54K32U528785,Mitsubishi,Montero Sport,2000,green,463774.0,419097,poor,Wyn Leser,3 Elka Center
1G6KD54Y85U528320,Buick,Regal,1987,black,582602.92,182811,good,Josy Jury,8801 Almo Parkway
2G4WD552161988582,Chevrolet,Avalanche,2012,red,137521.59,252593,excellent,Cortie Edgcumbe,558 Westend Lane
KM8JT3AB2BU134755,Isuzu,Rodeo,2004,green,916291.62,283113,good,Afton D'Acth,6642 Division Park
2HNYD18471H940937,BMW,7 Series,2000,black,728107.4,415222,good,Nada Bramhall,5 Lotheville Terrace
WAULVBFRXCA762781,Mercedes-Benz,SLS-Class,2012,black,177345.94,148481,good,Filberto Bouller,35862 Susan Court
1G6YV36A075325446,Ford,Mustang,2002,green,430031.93,180046,poor,,48 Elka Point
KL4CJCSB3DB213863,Nissan,370Z,2010,white,687334.2,426226,excellent,,9 Magdeline Pass
WAUFFBFL5BA173979,Eagle,Summit,1995,black,631361.1,57035,good,Carling Gallone,
WAUFFAFL6BN537507,Isuzu,VehiCROSS,2001,black,159192.28,6673,poor,Meredith MacNelly,
3N1AB6APXBL410214,Ford,Focus,2009,blue,681871.04,297251,fair,Myrwyn Leonardi,39491 Ridgeview Road
JH4CW2H56DC654849,Kia,Carens,2009,red,998153.96,365632,good,Weber Hennington,
WBANE53556C690750,Volvo,V40,2003,white,492825.78,111578,excellent,Antonie Dumphry,516 Canary Trail
WAU2MAFC7EN461840,Geo,Tracker,1992,green,718895.88,30224,fair,Ulrica Pottinger,158 Kensington Junction
JM3TB2BA1D0787448,Saturn,Ion,2005,blue,271282.05,57586,excellent,Lyssa Fuzzens,482 High Crossing Street
KNAGG4A84A5415541,Lexus,IS F,2008,blue,520454.56,121287,fair,,394 Dottie Court
KMHHT6KDXBU587165,Hyundai,Santa Fe,2001,blue,160926.48,96687,good,Birk Van der Krui,1785 Longview Way
1FTEX1CM6CF051474,Mazda,CX-7,2012,green,963477.16,112258,poor,Robbie Lathleiffure,84554 Parkside Lane
1FTEX1CM9DF871534,Dodge,Dakota Club,2006,white,929856.57,180587,fair,Lana Bearman,55 Vidon Way
WAUVT68E73A853829,Cadillac,DeVille,1998,white,538862.95,494644,poor,Harman Ebbers,503 Haas Court
SALVP2BG2FH040400,Dodge,Journey,2011,green,955969.07,342313,good,Mehetabel Glisenan,3 Waxwing Lane
2C3CDXJG0DH977165,Volkswagen,,1993,blue,649246.55,281845,good,Abrahan Vinick,1 Sutteridge Junction
2T1BU4EE1DC699515,Kia,Optima,2008,green,138109.88,255910,good,Sigismund Garrow,141 Sycamore Pass
WAUDK78T59A132100,Audi,A6,2011,green,987090.0,386019,poor,Casey Whitehorn,23 Lotheville Street
KNAFT4A23D5048056,Nissan,Rogue,2008,black,71996.06,147335,fair,Benoite Reggio,6845 Muir Trail
WAUDFAFLXFN163688,Toyota,4Runner,2011,red,815736.47,393952,excellent,Giana Bell,9351 Blaine Street
3VWJX7AJXAM418643,Mitsubishi,Outlander,2009,red,45746.55,486803,good,Lorine Dack,
WBAUP9C53BV670492,Mitsubishi,Pajero,2003,blue,229393.86,358907,excellent,Delinda Legerwood,92991 Beilfuss Plaza
1G6AH5R37F0230539,Lincoln,Mark VIII,1996,green,912908.52,301919,good,Rosy Cowx,
3VW8S7AT6FM683226,Audi,Q7,2007,blue,646762.6,242526,fair,Casper Clell,48 Shoshone Street
WAULT58E65A248902,Buick,Reatta,1988,red,821125.55,235817,good,Dev Wearn,712 Ryan Trail
WAUDGAFL2EA568186,Isuzu,Hombre,1998,red,579923.6,136438,good,Anette Leroux,48 Dapin Place
WBAUL73569V324737,Isuzu,Trooper,1993,red,527391.58,299512,poor,,14508 Brentwood Road
KMHFG4JG6CA362000,Chevrolet,Silverado 1500,2009,black,575912.25,243950,poor,Frazier Dunster,9605 Helena Crossing
WAUHF78P16A799797,Cadillac,Escalade ESV,2010,green,107609.43,406500,good,Cybill McRinn,66 Lunder Avenue
KMHHT6KJ0FU760607,Nissan,Quest,2004,red,714217.88,407109,good,Carolynn Crackett,84741 Blue Bill Park Avenue
KMHHU6KJ6FU997244,Chevrolet,Astro,2003,white,254749.13,389893,excellent,Hally Hindes,943 Southridge Avenue
WAUDF78E96A387527,Land Rover,LR2,2012,blue,765826.91,280293,excellent,,5 Susan Way
1N6AF0KY4EN913633,Lincoln,Continental,1985,green,289402.71,13119,excellent,Nanci Wieprecht,
WP1AE2A22CL436333,Toyota,Avalon,2000,red,662871.29,53961,poor,Barclay Scragg,5 Prairie Rose Road
WUAUUAFG9F7794385,Oldsmobile,Ciera,1996,green,190375.72,142868,good,Cart Shawcroft,68 Grim Road
WBAVM5C59EV747084,Pontiac,Grand Am,1992,blue,712410.2,319118,good,Liva Kender,5 Briar Crest Lane
3VW4A7AT0CM439892,Pontiac,Gemini,1986,black,313138.3,189894,excellent,Merry Evison,33 Burrows Crossing
2G4GU5GX7E9803707,BMW,3 Series,2008,green,583427.75,124766,fair,,46 Clyde Gallagher Hill
1C4NJPBA3FD255194,Scion,xA,2006,black,40456.58,307716,poor,Brooke Danilov,034 Nancy Park
1FMCU5K37AK960422,Jeep,Liberty,2003,green,143069.24,324173,poor,Carola Smithson,98436 Corscot Point
1G6DF5E52D0661295,Jaguar,S-Type,2000,white,536407.4,365091,good,Frederico Lewins,
WAUAVAFA6AN844041,Infiniti,QX,2010,white,640305.87,429538,good,Malissa Brockbank,6986 Barnett Center
1FAHP2DW2BG160356,Chrysler,Voyager,2003,blue,115116.2,235167,excellent,,7 Green Ridge Court
WBANE735X7C248222,Jeep,Grand Cherokee,1999,blue,526098.14,201581,excellent,Artur Clackers,3 Sullivan Hill
JM3ER2A5XC0294116,Dodge,Ram Wagon B150,1994,green,162080.73,151495,fair,Valerie Fay,00 Carberry Way
5J8TB2H28CA754918,Saab,9-3,2011,white,69418.97,233075,excellent,Phelia Lehrmann,477 Anniversary Terrace
WA1BY74L37D443559,Toyota,T100,1998,white,53733.76,147318,poor,Fae Dominguez,9 Almo Alley
4JGDF2EE5EA039941,Land Rover,Range Rover,2000,green,753702.04,480657,fair,Lynnette Brixham,8010 Kedzie Way
3GYFNCEY6AS172761,Maybach,57,2003,blue,853162.08,259475,good,Annabell Shire,03 Columbus Crossing
WA1YD64B14N045389,Cadillac,Eldorado,1994,white,288384.36,471643,poor,Dotty Ilyinykh,76511 Dawn Trail
1FTFW1E82AK929560,Lincoln,Continental,1996,white,521982.31,1772,fair,Carolynn Storm,32 Summerview Alley
2HNYD184X1H504616,Buick,Skyhawk,1984,white,940491.45,209117,good,Dunn Darycott,08605 Darwin Plaza
2C3CDXFG3FH502475,Chevrolet,Express,2010,blue,521654.15,385628,poor,Austen Duncklee,9900 Jana Alley
KMHGH4JH7DU263518,Ford,Freestyle,2005,red,976045.72,340470,excellent,Dulcia Crosser,5 Shoshone Drive
JM1GJ1T52F1275848,Cadillac,CTS,2008,black,565771.12,98183,good,Jessalyn McIver,9 Haas Point
SCFFDCBD7AG204241,Oldsmobile,Cutlass Cruiser,1994,white,774713.17,54106,fair,Ode Willmont,93429 Petterle Terrace
1N6AA0CJ2EN804345,Hyundai,Accent,2003,blue,549276.15,298795,good,,
KMHTC6AD2EU317458,Mercedes-Benz,E-Class,1996,green,682417.5,247656,excellent,Fawn Gotthard.sf,5793 Brickson Park Avenue
5UXZW0C56C0694824,Hyundai,Accent,2003,red,214042.16,442703,good,Philipa Nowick,1 Amoth Alley
JH4KA96512C542544,Jeep,Cherokee,1992,white,979536.78,475726,good,Stearn Cressor,90 Maple Wood Hill
KNAFX6A85E5909498,Dodge,Journey,2009,black,68745.71,329172,poor,Rupert Smerdon,7982 American Ash Terrace
JN1BY1AR3EM825571,Lincoln,MKZ,2009,white,291097.84,60023,poor,Horten Taaffe,7253 Algoma Terrace
1GYUCAEFXAR389460,Infiniti,,2012,red,307411.51,331921,good,Timotheus Maddrah,
3N1CN7AP4FL803766,BMW,7 Series,2012,white,177598.93,170687,poor,Ruy Beardsworth,39 Caliangt Park
5TDBY5G15ES743786,Mercedes-Benz,W123,1977,green,3186.12,270748,poor,Darsie Comelini,77506 Kipling Crossing
2C3CDXCTXFH624980,Ford,Freestar,2004,red,959367.99,129950,fair,Gavra Martinolli,
JH4KA96661C296078,Saab,9000,1986,white,256602.04,261219,poor,Faustine Standbrook,1370 Anniversary Park
3GYFNDE31CS911502,Ram,1500,2012,white,419716.46,76654,fair,Dalton Tabner,2979 High Crossing Court
5N1AT2MK1FC305058,Buick,Park Avenue,1998,green,263337.52,439346,excellent,Delainey Edgeller,969 Barby Circle
JTDZN3EUXEJ622015,GMC,Yukon XL 1500,2008,red,667184.78,33087,poor,Tymothy Flancinbaum,7 Maywood Trail
2HKRM3H33CH869369,Suzuki,Grand Vitara,2007,green,103874.46,323118,good,Ripley Barfield,82117 Del Sol Center
3D7TT2CT0AG918355,Subaru,Impreza,2001,green,204388.85,86036,excellent,,4106 Meadow Ridge Crossing
2C4RDGBG9ER255256,Toyota,Yaris,2009,white,923998.37,494295,good,Liana Arpur,51655 Oak Valley Place
3C4PDCBB8ET318672,Jeep,Liberty,2007,green,953023.12,50411,good,Hieronymus Ambrus,06 Anniversary Parkway
1G6DK1E31C0017644,GMC,Yukon XL 1500,2009,green,23777.57,387546,poor,Anny Vasilic,8 Nelson Way
3N1BC1AP0AL542966,Chevrolet,Suburban,2011,blue,765991.78,164886,poor,Jereme Shambroke,417 Service Parkway
WA1VGAFPXEA113008,MINI,Cooper,2004,red,997371.73,249557,excellent,Brice Falck,3 Tennyson Avenue
WBAFU9C50CC538532,Dodge,,2003,red,388915.52,353068,fair,Linea Couroy,64 Pond Crossing
WAUBGAFB4AN911629,GMC,Rally Wagon 3500,1994,green,950127.46,216401,fair,Gage Dabney,63894 Toban Crossing
3D73Y4HL0BG700715,Mercedes-Benz,CL-Class,2012,blue,788145.84,162641,poor,Ransom Woolen,9746 Brickson Park Plaza
WDDGF5EB4AF155871,Mercury,Cougar,1994,black,832087.87,452765,fair,Annamaria Penhale,626 Claremont Parkway
2HNYB1H29AH654074,Acura,MDX,2003,red,349255.1,344123,excellent,Alyssa Pattesall,26 Lillian Point
JN1CV6EKXCM998881,Toyota,Tundra,2001,white,461956.84,31040,poor,Obidiah Dahmel,0 Corben Circle
1GYS3JEF0DR458880,Honda,CR-X,1988,black,334603.12,232706,fair,Gaspar Rawcliffe,21841 Myrtle Avenue
WAUJFAFH9AN221393,Ford,E-350 Super Duty,2006,white,394853.82,409622,excellent,Georgeanne Echalier,45 Hermina Court
1FTEX1CW3AK228889,Ford,Flex,2012,red,107596.57,47243,poor,Layney Gaymer,17373 Autumn Leaf Road
3N1BC1CP2CK940251,Chevrolet,Venture,2003,green,954389.78,430549,poor,,502 Armistice Hill
WAUKH78E98A696564,Chevrolet,Traverse,2011,white,869831.28,15752,fair,Isak Pentin,1 Paget Lane
KMHTC6ADXEU798222,Dodge,Challenger,2011,black,751322.21,215654,poor,Weylin Fagence,1899 Talisman Court
2FMGK5D81FB058303,Lincoln,MKZ,2007,red,966169.73,1192,fair,Donnamarie Shave,0299 Wayridge Circle
2FMDK3AK5BB581471,Mercedes-Benz,W201,1990,blue,785462.27,773,excellent,Faustina Crannach,484 Hanover Pass
1GYS3GEF9BR769532,Toyota,Camry Solara,2006,blue,633446.86,392795,good,Tye Siddons,05 New Castle Junction
WAUEF78E27A812270,Chevrolet,Corvette,1993,blue,882858.46,117817,fair,Roxine Urling,6852 Troy Lane
WP0CB2A84CS502655,Ford,E350,2011,blue,26473.25,126932,good,Othilie Rainbird,8 Porter Place
WBAPM5C53BF598153,Plymouth,Breeze,1996,black,99606.42,336959,good,Calli Huske,526 Amoth Terrace
WAUAF78E85A717725,GMC,Yukon XL 2500,2011,blue,195615.96,467869,poor,Mavis Roussel,3 Sauthoff Lane
JTHBK1EG9C2059408,Jeep,Wrangler,1994,black,197119.19,81403,excellent,Dexter Escudier,19 Emmet Road
1LNHL9DKXDG384534,Chevrolet,Suburban,2009,red,744111.55,466820,poor,Lucian Petersen,862 Sage Center
WP0CA2A8XEK265966,Audi,A7,2012,red,658640.71,389800,fair,Isadora Rathbourne,4 Dovetail Circle
1GD021EG4FZ177365,Audi,A4,2001,white,280925.61,394220,fair,Janelle Swafford,1311 Macpherson Point
1FMCU4K34BK655133,Volkswagen,GTI,2006,white,560459.49,250890,fair,Kath Cadalleder,97 Becker Alley
2C3CDXEJ1FH514797,Dodge,Ram Van B350,1993,blue,71972.81,309385,poor,Mackenzie Americi,323 Fairfield Street
JTDKN3DU2A0059125,Ford,F150,2003,red,771035.52,412352,fair,Andrei Bason,91 Helena Road
1G6KH5EY1AU306800,GMC,Suburban 1500,1994,red,774896.28,61345,poor,Yardley Brewood,425 Mcguire Drive
5UXXW5C50F0260911,Jeep,Liberty,2002,green,830299.57,489193,excellent,Lance Jiroutka,7721 Waywood Way
1FTNF2B53AE776908,Toyota,Celica,1993,red,895984.07,386193,poor,Joelynn Ralling,0 Lien Center
WP0AB2A98FS995633,Audi,A8,2007,green,560722.09,327735,fair,Stefan Goadby,52683 Twin Pines Circle
2FMDK3GC8AB738554,BMW,M5,2009,white,169314.69,116286,good,,83622 Ridgeway Drive
1D7RW3BK2BS687114,Volkswagen,Jetta,1992,green,22739.53,293836,poor,Annissa Ruffey,1677 Lyons Parkway
1N4CL2AP9BC729438,Dodge,Viper RT/10,1993,blue,784378.38,239867,poor,Dianemarie Lodder,22042 Mayer Crossing
3VWML7AJ5DM761499,Hummer,H3,2009,white,167310.96,222790,poor,Marys Falloon,528 Meadow Vale Junction
1VWAH7A36DC493814,Ford,F-Series,2001,blue,201304.51,397930,poor,Zara Brampton,363 Swallow Junction
SALWR2VF1FA920434,Chevrolet,Silverado 2500,2006,blue,465453.96,58011,excellent,Arnuad Groveham,09404 Forster Road
19UUA66297A350632,Plymouth,Breeze,1999,white,271047.14,98706,excellent,Hollie Zywicki,97740 Raven Street
JTEBW3EH5A2348997,Daewoo,Leganza,2000,white,16204.54,197819,poor,Gareth Goodred,535 Leroy Plaza
WBAFU7C52BD415165,Toyota,Camry Solara,2006,white,428868.16,358065,poor,Bennett Sammut,5474 Becker Trail
1G4CW54K514079904,Honda,Prelude,1986,black,940600.03,418173,excellent,Barrett Mariolle,24 Portage Circle
5TDBKRFH8ES721398,Mitsubishi,Pajero,2002,black,964976.13,56135,fair,Ame Gowler,
JN1AZ4EH4CM127575,Saturn,VUE,2005,green,399732.88,442173,poor,Millie Proswell,55530 Maple Avenue
SCBGT3ZA3FC596217,Ford,Explorer,2006,green,951184.42,111075,good,Tamera Dight,7 Elka Court
5N1AA0ND2FN455680,Toyota,Corolla,1999,red,49183.85,288031,good,Waiter Palphramand,5645 Myrtle Point
3N1BC1AP6BL254046,Lexus,ES,1990,red,830190.09,398015,excellent,Carmita Havard,8002 Canary Avenue
WAUAF98E16A118727,Honda,Civic Si,2005,blue,14298.65,342974,excellent,Arabella Munehay,272 Bayside Way
WVGEF9BP3ED596381,Cadillac,CTS-V,2009,green,851255.14,252896,good,Lyndsay Hegge,8 Milwaukee Trail
WP0CB2A86CS503791,Dodge,Viper,1993,red,257996.16,495069,poor,Margot Abramov,4284 Homewood Terrace
5UXFG43599L358454,Volvo,XC70,2008,white,113253.92,47744,good,Annelise Santhouse,896 Steensland Way
WUAUUAFG8EN728128,Acura,TSX,2004,black,920527.26,185,excellent,Edyth Branston,32 Dapin Court
2T1BU4EE0DC972301,Volkswagen,Routan,2009,blue,873713.94,182661,poor,Tani Jendrach,73512 Carpenter Lane
2C3CDXEJ6CH318172,Lexus,LX,1996,blue,671486.21,476269,poor,Giana Piet,3 Gerald Way
WUAUUAFG6EN725454,Ford,Escort,1988,black,531660.05,77707,fair,Zolly Gotch,94777 Spohn Court
JTDZN3EU8EJ213771,Acura,,1994,black,348487.47,323939,good,Judd Marskell,7608 Graceland Road
19XFA1E52AE011110,Mercedes-Benz,CL-Class,1998,red,987827.56,187369,poor,Fancie Belmont,
WA1VMAFP5FA241800,Acura,MDX,2008,blue,252214.56,344247,fair,Mady Buddle,51 Esch Parkway
1D7RV1GP3AS960846,Saab,900,1991,black,535076.72,256183,excellent,Delmor Drejer,7 Nancy Road
1LNHL9DK9FG310850,Mazda,B-Series,1993,white,716887.54,366962,excellent,Faulkner Clearley,3 Emmet Crossing
WAUEFAFL9CA215805,Mercury,Capri,1992,white,321021.65,394436,poor,Danya Sammars,7 Messerschmidt Place
YV1902AH1D1700238,Saturn,Ion,2005,blue,562762.71,115841,poor,Sammy Thurlborn,6 Reindahl Avenue
5UXZV4C51DL712558,Dodge,Challenger,2008,green,978916.22,379593,fair,Shirley Larkworthy,2 Brown Circle
1GKS2GEJ4BR492466,Infiniti,EX,2009,black,508546.16,58215,fair,Devy Rush,3 Northridge Park
1N6AF0KX9FN881884,Suzuki,Grand Vitara,2006,white,409774.02,13264,fair,Therese Darton,4 Towne Alley
WBANF73506C269267,Mercedes-Benz,CLK-Class,2004,red,834341.33,8523,good,Cory Henaughan,3 Esker Center
5FRYD3H86FB900350,Toyota,Camry,2004,red,141705.25,459822,fair,Myles Boylund,63405 Menomonie Alley
1D7CW2BK2AS887764,Kia,Rio,2007,green,663997.77,281722,excellent,Ruben Pamment,
WAUAT48H74K548825,Porsche,928,1994,green,760060.12,423542,excellent,Erinn Grigorushkin,008 Forster Place
1G6DL8E34D0508300,Honda,S2000,2002,white,752253.59,43901,excellent,Daisi Farans,95473 7th Plaza
5FNYF3H25BB730290,Chevrolet,Silverado,2001,green,921430.69,406448,good,Elfrieda Lawlan,
WBAYM1C58FD998322,Rolls-Royce,Phantom,2010,white,974417.59,450459,good,Jodie Bootes,49994 Aberg Parkway
3GYFNBEYXAS618601,Ford,F250,1996,white,887616.39,493645,excellent,Lindie Taillard,2063 Hoffman Lane
WBAVT13586K690973,Mitsubishi,Montero,2006,blue,624186.88,51876,excellent,Kally Slowcock,7529 3rd Drive
WA1CV74L69D407624,Ford,Escort,1999,black,416855.87,404972,excellent,Phil Marchetti,922 Randy Terrace
WDDGF4HB6EG854456,Chrysler,LHS,1999,blue,108888.02,112906,excellent,Case Farquhar,2614 Fordem Drive
5GAKRCED5BJ709405,Buick,Somerset,1987,red,545360.32,28251,poor,Trace Million,4 Bartillon Street
JH4CL96848C368695,Honda,Civic,2003,blue,299901.98,305751,good,Jeth Gorry,675 Elka Junction
1C3BC8EG2BN544045,Acura,CL,2003,black,710414.63,396156,fair,Kathie McNea,
2T2BK1BA1EC301271,Cadillac,Escalade ESV,2010,blue,656458.28,448755,poor,Veronika Pudan,02068 Russell Court
1G6KE54Y44U117346,Dodge,Caravan,1994,black,324285.53,319837,fair,Else Seabon,8214 Petterle Street
WA1YD64BX2N672539,Aston Martin,,2010,white,716479.18,126535,poor,Melodie De Bruijn,2 Clyde Gallagher Lane
3GYFNGEYXBS447637,Acura,Legend,1992,red,650985.96,421905,good,Geoffry Hollindale,
3VWPG3AG0AM870026,Chevrolet,Silverado,2007,red,164123.84,217237,poor,Cecilla Kennett,77856 Carberry Park
1GYS3AKJ1FR689461,Volkswagen,Jetta,2007,red,327696.4,129513,excellent,Phillie Lipman,620 Fairview Street
5TFAW5F14EX777344,Pontiac,Sunfire,2004,blue,479342.99,207824,poor,Binnie Crosser,311 Heath Court
3VWJP7ATXCM080455,Mazda,MX-5,1991,red,561583.69,445089,fair,Ddene Clewlowe,84173 South Parkway
WAUKG68E15A245184,Mercedes-Benz,SL-Class,1998,red,345115.27,362305,poor,Jourdan Cinelli,8970 Bunker Hill Road
SALVP2BG3FH249192,Acura,RDX,2012,blue,554958.73,334944,poor,Irwinn Rosengren,733 Lake View Court
WDDLJ6HB2FA692550,Mercedes-Benz,M-Class,2011,blue,340253.08,241317,excellent,Reider McAnalley,36273 Bluestem Circle
SAJWA1CZ8E8227860,Hyundai,Elantra,2004,green,978598.32,97071,excellent,Gert Gartside,
3GYVKLEF3AG859735,Volvo,S40,2007,green,857923.57,402334,fair,Teirtza Julian,16746 Grasskamp Circle
4T1BK1EB7EU175134,Mitsubishi,Pajero,2001,black,637527.78,108453,good,Lenard Stolworthy,06218 Continental Circle
3D7JV1EP0BG058468,Mitsubishi,Diamante,2000,black,47225.14,92623,good,Emlyn Klug,949 Moland Court
JN8AF5MR5BT196368,Dodge,Intrepid,1995,blue,619344.38,192511,fair,Blaine Lavall,20568 Merrick Lane
3VW4S7AT2EM575683,Chevrolet,Silverado 2500,2010,blue,294251.6,118625,poor,Byram Yurikov,18 Tomscot Alley
